,Ciclo Agricola,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valor produccion,Fertilizante N (kg/ha),Nin_kg
8277,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodn hueso,2350.0,2350.0,0.0,7990.0,3.4,"$6,250.00","$49,937,500.00",375,881250.0
8278,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,98.0,98.0,0.0,1450.4,14.8,"$7,000.00","$10,152,800.00",200,19600.0
8279,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,690.0,690.0,0.0,1242.0,1.8,"$14,000.00","$17,388,000.00",100,69000.0
8280,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maz grano,1410.0,1410.0,0.0,8194.0,5.81,"$3,900.00","$31,956,600.00",280,394800.0
8281,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,1340.0,1340.0,0.0,6100.0,4.55,"$3,200.00","$19,520,000.00",190,254600.0
8282,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,950.0,950.0,0.0,12825.0,13.5,"$1,910.00","$24,495,750.00",24,22800.0
8283,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,680.0,488.0,0.0,6832.0,14,"$1,800.00","$12,297,600.00",160,108800.0
8284,2012,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,203.0,203.0,0.0,162.4,0.8,"$53,500.00","$8,688,400.00",90,18270.0
8285,2012,26,Sonora,148,Cajeme,2,Villa Jurez,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,8.0,8.0,0.0,120.0,15,"$7,000.00","$840,000.00",200,1600.0
8286,2012,26,Sonora,148,Cajeme,2,Villa Jurez,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6900000,Garbanzo grano,20.0,20.0,0.0,50.0,2.5,"$13,500.00","$675,000.00",18,360.0
8287,2012,26,Sonora,148,Cajeme,2,Villa Jurez,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8100000,Papa,20.0,20.0,0.0,560.0,28,"$7,200.00","$4,032,000.00",110,2200.0
8288,2012,26,Sonora,148,Cajeme,2,Villa Jurez,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,1144.0,1144.0,0.0,8236.8,7.2,"$3,530.42","$29,079,360.00",280,320320.0
8289,2012,26,Sonora,148,Cajeme,2,Villa Jurez,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,72.0,72.0,0.0,864.0,12,"$2,150.00","$1,857,600.00",24,1728.0
8290,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,85.0,85.0,0.0,1190.0,14,"$6,944.11","$8,263,490.90",110,9350.0
8291,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,160.0,160.0,0.0,2432.0,15.2,"$4,593.75","$11,172,000.00",200,32000.0
8292,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6840000,Frijol,136.0,136.0,0.0,210.8,1.55,"$15,800.00","$3,330,640.00",100,13600.0
8293,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6900000,Garbanzo grano,1450.0,1450.0,0.0,3697.5,2.55,"$13,500.00","$49,916,250.00",18,26100.0
8294,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maz grano,3400.0,3400.0,0.0,21080.0,6.2,"$3,900.00","$82,212,000.00",280,952000.0
8295,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8100000,Papa,180.0,180.0,0.0,5400.0,30,"$1,800.00","$9,720,000.00",110,19800.0
8296,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),128.0,128.0,0.0,3712.0,29,"$3,050.00","$11,321,600.00",200,25600.0
8297,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,7623.0,7623.0,0.0,53352.0,7,"$3,532.11","$188,445,040.00",280,2134440.0
8298,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodn hueso,539.0,539.0,0.0,1805.65,3.35,"$6,220.00","$11,231,143.00",375,202125.0
8299,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,116.0,116.0,0.0,220.4,1.9,"$14,000.00","$3,085,600.00",100,11600.0
8300,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maz grano,398.0,398.0,0.0,2228.8,5.6,"$3,900.00","$8,692,320.00",280,111440.0
8301,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,560.0,560.0,0.0,2505.0,4.47,"$3,200.00","$8,016,000.00",190,106400.0
8302,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,400.0,400.0,0.0,5600.0,14,"$2,100.00","$11,760,000.00",24,9600.0
8303,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7560000,Mango,11.0,0.0,0.0,0.0,0, $-   , $-   ,60,660.0
8304,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,262.0,150.0,0.0,2250.0,15,"$1,600.00","$3,600,000.00",160,41920.0
8305,2012,26,Sonora,148,Cajeme,3,Bcum,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,149.0,100.0,0.0,80.0,0.8,"$53,000.00","$4,240,000.00",90,13410.0
8306,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,402.0,402.0,0.0,5628.0,14,"$4,385.27","$24,680,299.56",110,44220.0
8307,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,247.0,247.0,0.0,6261.79,25.35,"$4,947.55","$30,980,533.37",200,49400.0
8308,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6840000,Frijol,309.0,309.0,0.0,494.4,1.6,"$16,500.00","$8,157,600.00",100,30900.0
8309,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6900000,Garbanzo grano,80.0,80.0,0.0,204.8,2.56,"$13,500.00","$2,764,800.00",18,1440.0
8310,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maz grano,3010.0,3010.0,0.0,18662.0,6.2,"$3,900.00","$72,781,800.00",280,842800.0
8311,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8100000,Papa,710.0,710.0,0.0,21300.0,30,"$5,800.00","$123,540,000.00",110,78100.0
8312,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8710000,Sanda,80.0,80.0,0.0,2360.0,29.5,"$2,700.00","$6,372,000.00",130,10400.0
8313,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),129.0,129.0,0.0,7116.94,55.17,"$3,452.20","$24,569,135.00",200,25800.0
8314,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,23894.0,23894.0,0.0,167258.95,7,"$3,522.24","$589,126,162.40",280,6690320.0
8315,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodn hueso,1188.0,1188.0,0.0,3801.6,3.2,"$6,150.00","$23,379,840.00",375,445500.0
8316,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,475.0,475.0,0.0,760.0,1.6,"$14,000.00","$10,640,000.00",100,47500.0
8317,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maz grano,1160.0,1160.0,0.0,6630.5,5.72,"$3,900.00","$25,858,950.00",280,324800.0
8318,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,960.0,960.0,0.0,4320.0,4.5,"$3,000.00","$12,960,000.00",190,182400.0
8319,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,595.0,595.0,0.0,7140.0,12,"$2,100.00","$14,994,000.00",24,14280.0
8320,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,439.0,390.0,0.0,5850.0,15,"$1,900.00","$11,115,000.00",160,70240.0
8321,2012,26,Sonora,148,Cajeme,4,Pueblo Yaqui,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,130.0,0.0,0.0,0.0,0, $-   , $-   ,90,11700.0
8322,2012,26,Sonora,148,Cajeme,5,Vicam,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,16.0,16.0,0.0,256.0,16,"$7,870.00","$2,014,720.00",110,1760.0
