id_ptar,nom_ptar,Proceso de tratamiento,NRE,nom_loc,cap_inst,caud_trat,LONGITUD,LATITUD,%ut,Monto
5312,Valle de Huyaqui(Los Solares),Lagunas de Estabilización,60,Valle de Huyaqui (Los Solares),1.75,0.8,-108.3328,25.3942,45.71%," $22,400.00 "
4389,Leon Fonseca,Lagunas de Estabilización,60,Leon Fonseca (Estacion Verdura),10.5,4.8,-108.3443,25.7301,45.71%," $134,400.00 "
4231,Miramar-Pueblo bonito,Lodos Activados,67.5,Cabo San Lucas,90,40,-109.9252,22.897,44.44%," $1,120,000.00 "
2696,Los Arroyos,Lodos Activados,67.5,Hermosillo,113,48.28,-110.9585,29.0749,42.73%," $1,351,840.00 "
4113,Bonfil,Lodos Activados,67.5,Poblado Alfredo V. Bonfil,1.6,0.68,-115.0697,32.3405,42.50%," $19,040.00 "
2301,Herculano de la Rocha,Fosa Septica + Wetland,85,Herculano de la Rocha,1.9,0.8,-108.3098,25.6282,42.11%," $22,400.00 "
4177,San Miguel Zapotitlan,Discos Biológicos o Biodiscos,45,San Miguel Zapotitlan,25,10.3,-109.0497,25.9468,41.20%," $288,400.00 "
120,Mulege,Lagunas de Estabilización,60,Heroica Muleg‚,20,8,-111.9814,26.8916,40.00%," $224,000.00 "
4485,Nio,Lagunas de Estabilización,60,Nio,11,4.4,-108.3991,25.6247,40.00%," $123,200.00 "
4079,Tortugas Dos,Lagunas de Estabilización,60,Tortugas Dos,1,0.4,-109.0948,25.6955,40.00%," $11,200.00 "
2534,Cinco de Mayo,Fosa Septica + Wetland,85,Cinco de Mayo (Agua Blanca),1.01,0.4,-108.5835,25.6344,39.60%," $11,200.00 "
5307,La Pichihuila,Lagunas de Estabilización,60,La Pichihuila,1.27,0.5,-108.3048,25.5394,39.37%," $14,000.00 "
3377,Ahome,Lodos Activados,67.5,Ahome,38,14.1,-109.1747,25.9205,37.11%," $394,800.00 "
3375,Primero de Mayo,Lagunas de Estabilización,60,Primero De Mayo,15,5.5,-108.9324,25.7412,36.67%," $154,000.00 "
3195,Cerro Cabezón,Lagunas de Estabilización,60,El Cerro Cabezón,10,3.5,-108.8565,25.5656,35.00%," $98,000.00 "
4902,Nuevo Milenio,Fosa Séptica,85,Nuevo Milenium,2,0.7,-115.2941,32.6121,35.00%," $19,600.00 "
2985,CETYS,Lodos Activados,67.5,Mexicali,7,2.43,-115.4756,32.6412,34.71%," $68,040.00 "
101,San Felipe,Lagunas Aireadas,60,San Felipe,120,41.6,-114.8389,31.0229,34.67%," $1,164,800.00 "
4509,Higueras de Culiacancito,Fosa Septica + Wetland,85,Higueras de Culiacancito,0.6,0.2,-106.9229,24.0982,33.33%," $5,600.00 "
3694,Los Cangrejos,Lodos Activados,67.5,Cabo San Lucas,75,25,-109.9252,22.897,33.33%," $700,000.00 "
5294,El Cuervo,Fosa Séptica,85,El Cuervo,1.5,0.5,-107.4202,24.3477,33.33%," $14,000.00 "
1811,Huitussi y Anexos,Fosa Septica + Wetland,85,El Huitussi y Anexos (El Huitussito),1.6,0.5,-108.6914,25.6439,31.25%," $14,000.00 "
3867,Luis Echeverría,Fosa Séptica,85,Pueblo Nuevo Luis Echeverría,3.8,1.15,-108.8627,25.8125,30.26%," $32,200.00 "
5298,Las Cuevitas,Fosa Séptica,85,Las Cuevitas,0.4,0.12,-107.0697,24.5124,30.00%," $3,360.00 "
4511,Ejido Culiacán,Fosa Septica + Wetland,85,Ejido Culiacán,1.7,0.5,-107.0294,24.0043,29.41%," $14,000.00 "
3013,Nopolo,Lodos Activados,67.5,Nopolo,30,8,-111.3593,25.9353,26.67%," $224,000.00 "
3961,San Pablo,Fosa Septica + Wetland,85,San Pablo,3,0.8,-109.2768,26.0523,26.67%," $22,400.00 "
4181,Cerro Segundo,Fosa Septica + Filtro Biologico,85,Cerro Segundo,1.5,0.4,-108.1157,25.2656,26.67%," $11,200.00 "
3196,Buenavista,Fosa Septica + Wetland,85,Buenavista,2.4,0.63,-108.5588,25.4736,26.25%," $17,640.00 "
2958,La Atravezada,Lagunas de Estabilización,60,Jose Maria Morelos Y Pavon (La Atravezada),4.35,1.13,-110.6923,28.0959,25.98%," $31,640.00 "
3881,Jesús María,Lodos Activados,67.5,Jesús María,8,2,-107.4519,25.0887,25.00%," $56,000.00 "
4510,Las Tinas,Fosa Septica + Wetland,85,"Tinas, Las",0.8,0.2,-106.9168,24.1438,25.00%," $5,600.00 "
5304,Francisco R. Serrano,Lodos Activados,67.5,Francisco R. Serrano,4.06,1,-108.2174,25.535,24.63%," $28,000.00 "
2507,UABC,Lodos Activados,67.5,Mexicali,10,2.3,-115.4756,32.6412,23.00%," $64,400.00 "
2856,San Pedro El Saucito,Lodos Activados,67.5,San Pedro o el Saucito (San Pedro El Saucito),15,3.1,-110.8858,29.1807,20.67%," $86,800.00 "
114,Loreto,Lodos Activados,67.5,Nopolo,60,10,-111.3593,25.9353,16.67%," $280,000.00 "
3781,El Quelite,Lagunas de Estabilización,60,El Quelite,4,0.5,-106.4688,23.5577,12.50%," $14,000.00 "
3275,ITM,Lodos Activados,67.5,Mexicali,7,0.8,-115.4756,32.6412,11.43%," $22,400.00 "
